Fruit.Weight.Color.Sweetness
Apple.120.(255, 0, 0)."0.8"
Banana.150.(255, 255, 0)."0.9"
Orange.200.(255, 165, 0)."0.7"
Grape.5.(128, 0, 128)."0.95"
Pineapple.1000.(255, 255, 0)."0.6"
Kiwi.80.(0, 128, 0)."0.85"
Mango.300.(255, 165, 0)."0.75"
Cherry.3.(255, 0, 0)."0.98"
Lemon.50.(255, 255, 0)."0.6"
Peach.200.(255, 192, 203)."0.8"
Pear.170.(255, 255, 224)."0.75"
Watermelon.5000.(0, 255, 0)."0.5"
Papaya.700.(255, 140, 0)."0.65"
Plum.50.(221, 160, 221)."0.9"
Blueberry.1.(0, 0, 255)."0.85"
Raspberry.2.(255, 0, 255)."0.95"
Strawberry.15.(255, 0, 0)."0.9"
Blackberry.5.(0, 0, 0)."0.92"
Cantaloupe.1200.(255, 165, 0)."0.7"
Grapefruit.300.(255, 0, 0)."0.65"
